File,Tipo,PHFT,PHiFT,PHsFT,CgTT,CgTT por pessoa,"CgTT/AP,UH",Carga aquecimento,Carga resfriamento,Carga aquecimento DORM1,Carga resfriamento DORM1,Carga aquecimento DORM2,Carga resfriamento DORM2,Carga aquecimento ADICIONAL,Carga resfriamento ADICIONAL,Carga aquecimento SALA,Carga resfriamento SALA,Carga DORM1/m2,Carga DORM2/m2,Carga SALA/m2,Carga ADICIONAL/m2,TOmin,TOmax,PHFT intermediario e superior,Criterio PHFT antendido
uberlandia_areia_ANALISE_1_CBout,Real,77.6,0.7,21.7,2311,577.7820989264707,81.9839799824719,28.43836265196942,2282.690033053913,12.779212920065605,80.35218158656573,11.19256801917701,74.07987400756117,0.0,0.0,4.466581712726807,2128.257977459786,11.087070774598969,11.031363780949313,174.3846736854058,0.0,13.65,32.58,73.1,sim
uberlandia_areia_ANALISE_2_CB+Murosout,Real,76.3,0.7,23.0,2326,581.7462595884613,82.54647174011511,27.89533880874885,2299.089699545096,13.149477402110396,74.07222651422488,11.369872279946371,99.24535455804006,0.0,0.0,3.375989126692083,2125.772118472831,10.383536180516103,14.30986116920911,174.09224101386127,0.0,13.71,32.69,72.55,sim
uberlandia_areia_ANALISE_3_CB+Muros+GARout,Real,75.3,0.6,24.1,2420,605.1158088075905,85.86247730508556,25.244345746620994,2395.218889483741,12.649797611404571,84.71724960017129,10.847154678160598,107.19399255302332,0.0,0.0,1.7473934570558223,2203.3076473305464,11.59131514423522,15.270523574538668,180.29885860896175,0.0,13.96,32.55,71.29,sim
uberlandia_areia_ANALISE_4_CB+Muros+3Qout,Real,80.5,0.7,18.8,2420,403.4107727224675,66.6060714456468,37.856675565251805,2382.6079607695533,7.2463572612993055,105.67299228492318,11.298237916620565,100.19862530214174,16.033551024138156,78.12295233437146,3.2785293631937815,2098.613390848117,13.442779707883629,14.423915034768731,171.86360753976373,11.552945197363142,13.51,32.64,73.98,sim
uberlandia_areia_ANALISE_5_CB+Muros+GAR+3Qout,Real,79.5,0.7,19.8,2521,420.2067911179779,69.37921702553294,35.19646322714049,2486.0442834807263,7.015935336600054,120.5334326986295,10.791442110043167,106.9994965601984,15.672756661610295,86.38716504405134,1.716329118886973,2172.1241891778473,15.184448575622564,15.238155067301625,177.7465673178033,12.522689779835783,13.61,32.49,75.37,sim
uberlandia_areia_ANALISE_6_CB+Muros+3Q_CNSTout,Real,80.8,0.8,18.5,1816,302.7585016860589,53.41226139712888,36.431383470089166,1780.1196266462641,13.003863508758052,77.19258456078371,11.00659376678665,99.77282296522472,10.633453780155497,103.1245905411812,1.787472414388967,1500.0296285790744,10.737672389231161,14.331101776456839,156.43928135348577,13.478441270300557,13.98,32.57,74.95,sim
uberlandia_branco_ANALISE_1_CBout,Real,79.1,0.8,20.2,2098,524.6529637788335,74.44525913853614,29.819773581843485,2068.79208153349,13.4090358606985,65.70716453701661,11.66834323007113,59.029859912560326,0.0,0.0,4.742394491073853,1944.0550570839134,9.418595285442274,9.145951247429684,159.34566243458602,0.0,13.58,32.23,73.1,sim
uberlandia_branco_ANALISE_2_CB+Murosout,Real,78.3,0.7,21.0,2054,513.544918574377,72.86909096479276,29.4421904056882,2024.7374838918201,13.59948584674991,61.23583043361953,11.888633754846323,73.28212251241776,0.0,0.0,3.9540708040919657,1890.2195309457827,8.908966223853504,11.018209090202339,154.87928060097093,0.0,13.63,32.27,72.55,sim
uberlandia_branco_ANALISE_3_CB+Muros+GARout,Real,77.4,0.7,21.9,2138,534.720099232376,75.87372816351557,27.483386267653735,2111.3970106618503,13.245584104506717,67.25803332385527,11.444101432996884,81.78699952500484,0.0,0.0,2.793700730150134,1962.35197781299,9.583763979566903,12.06094449650734,160.68239399371546,0.0,13.87,32.13,71.29,sim
uberlandia_branco_ANALISE_4_CB+Muros+3Qout,Real,82.1,0.8,17.1,2141,356.9244877095171,58.9308455216594,40.02761591226371,2101.5193103448387,7.657624037684732,87.1028516624593,11.792071226118031,78.42507953587675,16.74534076549485,64.38962251609266,3.8325798829660953,1871.6017566304101,11.281009011921908,11.671041495730242,153.34704305097105,9.955210218599694,13.44,32.23,73.98,sim
uberlandia_branco_ANALISE_5_CB+Muros+GAR+3Qout,Real,81.5,0.7,17.8,2219,369.91071601325046,61.07496687065224,37.80700421498322,2181.6572918645197,7.363542925789588,98.35784628645098,11.362478079073837,78.87412493189245,16.346157480242827,72.1135660435498,2.7348257298769734,1932.3117546026265,12.585879668123876,11.67355795743419,158.22130665024557,10.853953806600321,13.53,32.09,75.37,sim
uberlandia_branco_ANALISE_6_CB+Muros+3Q_CNSTout,Real,82.2,0.8,17.0,1638,273.10605981844384,48.181016139684296,38.16772734120321,1600.4686315694596,13.303395817285272,63.94788975267805,11.648666011447723,75.49055414172024,11.21250879764881,78.6543709630975,2.0031567148214044,1382.3758167119638,9.196581615471825,11.272861598081237,144.20614306529015,10.647734568808806,13.9,32.25,74.95,sim
uberlandia_verde_ANALISE_1_CBout,Real,74.0,0.6,25.3,2853,713.4772424532687,101.23834586069793,24.16358241461716,2829.7453873984578,11.745822673650029,108.71852352806022,10.032074400008943,111.43343346724613,0.0,0.0,2.385685340958191,2609.593430403151,14.340993595441695,15.713519775841535,213.57147307801387,0.0,13.81,33.39,73.1,sim
uberlandia_verde_ANALISE_2_CB+Murosout,Real,71.5,0.6,27.9,3028,757.1824059021695,107.43985894319539,23.956184605706095,3004.7734390029723,12.02077642397492,113.01872463804274,9.994095226925465,160.37198187005995,0.0,0.0,1.9413129548057095,2731.3827324948693,14.885654888335436,22.039596002197335,223.49338065819092,0.0,13.91,33.72,72.55,nao
uberlandia_verde_ANALISE_3_CB+Muros+GARout,Real,70.5,0.6,29.0,3116,779.0933666492566,110.54889913433935,21.476208655299203,3094.897257941727,11.322797805870955,122.24731180959608,9.318290574882234,176.58074200811419,0.0,0.0,0.8351202745460159,2796.069204124017,15.901203525650837,24.04903396933977,228.69209520838618,0.0,14.16,33.58,71.29,nao
uberlandia_verde_ANALISE_4_CB+Muros+3Qout,Real,76.3,0.6,23.1,3154,525.8048629338305,86.81423163464454,32.6647623770095,3122.1644152259737,6.169399473232637,156.88648975162474,9.962480611427871,165.38399164742282,14.640178026028027,115.64439720111255,1.8927042663209646,2684.2495366258136,19.411415383911592,22.68389033102855,219.63550620540755,15.985837451182892,13.67,33.63,73.98,sim
uberlandia_verde_ANALISE_5_CB+Muros+GAR+3Qout,Real,75.3,0.6,24.1,3249,541.502740749654,89.40606616670127,30.964661578213665,3218.0517829197106,6.043667024499657,176.54799580365747,9.441637354353004,173.36468678516985,14.6547912554547,126.89663745131168,0.8245659439063042,2741.2424628795716,21.737102717637754,23.648942320766213,224.208260737815,17.36827346095293,13.78,33.49,75.37,nao
uberlandia_verde_ANALISE_6_CB+Muros+3Q_CNSTout,Real,77.4,0.7,21.9,2266,377.7304184485835,66.638709517539,32.05090680325102,2234.33160388825,11.90174297494219,112.8411711752174,9.479816381095304,169.78340956401726,9.339291806326754,170.57806925675013,1.3300556408867674,1781.1289538922654,14.850346922638046,23.190585503895544,185.67281349303667,21.317222874772142,14.17,33.49,74.95,sim
